"Kod";"Nazwa";"liczba nowo utworzonych miejsc pracy;2008;[tys. msc.]";"liczba nowo utworzonych miejsc pracy;2009;[tys. msc.]";"liczba nowo utworzonych miejsc pracy;2010;[tys. msc.]";"liczba nowo utworzonych miejsc pracy;2011;[tys. msc.]";"liczba nowo utworzonych miejsc pracy;2012;[tys. msc.]";"liczba nowo utworzonych miejsc pracy;2013;[tys. msc.]";"liczba nowo utworzonych miejsc pracy;2014;[tys. msc.]";"liczba nowo utworzonych miejsc pracy;2015;[tys. msc.]";"liczba nowo utworzonych miejsc pracy;2016;[tys. msc.]";"liczba nowo utworzonych miejsc pracy;2017;[tys. msc.]";"liczba zlikwidowanych miejsc pracy;2008;[tys. msc.]";"liczba zlikwidowanych miejsc pracy;2009;[tys. msc.]";"liczba zlikwidowanych miejsc pracy;2010;[tys. msc.]";"liczba zlikwidowanych miejsc pracy;2011;[tys. msc.]";"liczba zlikwidowanych miejsc pracy;2012;[tys. msc.]";"liczba zlikwidowanych miejsc pracy;2013;[tys. msc.]";"liczba zlikwidowanych miejsc pracy;2014;[tys. msc.]";"liczba zlikwidowanych miejsc pracy;2015;[tys. msc.]";"liczba zlikwidowanych miejsc pracy;2016;[tys. msc.]";"liczba zlikwidowanych miejsc pracy;2017;[tys. msc.]";
0000000;"POLSKA";490,6;521,6;609,3;580,3;465,0;502,4;614,8;595,8;618,7;694,1;138,0;501,4;456,5;429,3;376,5;347,1;319,9;317,6;284,2;264,2;
0200000;"DOLNOŚLĄSKIE";43,2;41,1;43,7;38,3;33,2;42,7;44,6;47,9;51,3;57,6;14,6;37,4;31,5;27,0;28,6;24,1;26,5;21,9;18,0;20,7;
0400000;"KUJAWSKO-POMORSKIE";23,6;26,7;25,4;16,0;13,2;17,8;25,3;24,2;23,4;25,9;6,8;25,3;21,3;13,5;13,2;11,0;11,4;10,4;11,2;11,7;
0600000;"LUBELSKIE";13,3;16,9;22,6;21,5;17,9;18,6;19,7;20,2;25,8;24,6;4,6;14,2;18,7;17,2;15,7;14,0;11,1;9,5;11,1;10,9;
0800000;"LUBUSKIE";15,2;17,2;13,6;14,3;11,9;10,8;11,6;12,3;13,1;14,3;4,1;17,1;10,5;11,5;11,1;10,0;6,6;6,6;5,2;6,7;
1000000;"ŁÓDZKIE";31,7;44,7;36,4;40,9;28,5;29,8;37,7;38,7;37,3;41,0;8,8;36,3;30,1;30,6;27,4;22,0;15,2;22,7;19,5;14,5;
1200000;"MAŁOPOLSKIE";35,4;49,5;57,9;44,1;35,8;48,0;48,9;52,8;68,6;66,9;10,5;40,1;32,9;28,7;27,6;31,5;25,1;27,6;29,6;24,1;
1400000;"MAZOWIECKIE";110,9;100,6;123,2;150,2;93,7;96,8;163,0;123,9;122,8;150,5;28,8;95,3;97,9;90,6;83,5;79,6;74,1;65,2;59,9;59,1;
1600000;"OPOLSKIE";11,5;10,8;14,1;13,9;13,4;9,2;12,2;10,0;15,2;13,2;2,8;10,3;10,3;9,9;8,1;6,8;6,9;6,7;4,1;2,9;
1800000;"PODKARPACKIE";16,6;18,4;23,7;23,1;20,3;24,0;20,2;27,7;22,0;30,2;6,8;27,8;16,7;20,4;15,7;14,4;13,9;16,3;12,2;12,2;
2000000;"PODLASKIE";9,3;10,1;17,4;11,5;13,0;8,6;7,5;12,0;10,9;15,3;2,6;8,6;10,1;10,0;9,5;6,7;5,5;4,4;5,1;5,3;
2200000;"POMORSKIE";20,7;23,7;36,6;29,1;26,4;33,8;40,4;39,8;40,2;37,5;8,1;23,8;30,3;23,0;21,3;22,7;21,8;19,8;17,4;14,9;
2400000;"ŚLĄSKIE";68,9;67,6;70,7;66,3;58,7;57,4;61,8;69,2;67,3;81,4;16,2;63,5;57,1;61,7;41,8;40,1;33,1;42,3;34,9;30,7;
2600000;"ŚWIĘTOKRZYSKIE";7,2;10,3;14,7;15,8;14,0;14,5;16,1;12,9;13,0;15,2;3,5;8,9;12,3;11,3;12,5;9,7;9,3;9,3;6,6;6,2;
2800000;"WARMIŃSKO-MAZURSKIE";15,1;13,5;17,9;19,0;18,3;14,3;14,6;17,6;15,7;18,1;3,7;18,1;13,7;15,1;13,2;10,5;9,8;11,5;8,1;7,9;
3000000;"WIELKOPOLSKIE";51,7;51,3;70,5;59,0;48,8;60,9;71,8;65,5;66,2;75,1;12,0;53,6;45,9;43,1;33,5;33,7;35,1;30,8;28,2;26,4;
3200000;"ZACHODNIOPOMORSKIE";16,3;19,2;20,9;17,5;18,0;15,0;19,4;21,1;25,9;27,4;4,1;21,1;17,2;15,7;13,9;10,5;14,6;12,6;13,2;9,9;
